lig_id,ligand_name,SMILES,exp_id,ref,substrate_comb,metal,substrate_1,substrate_2,solvent,temperature,"substrate_1_amount (gas: bar, liqu: mmol, solid: g)",substrate_2_amount,base,base_equiv_to_cat,additive,additive_equiv,substrate_ratio,volume_ml,activity_kg_mol,yield,mn,time_hr,incorporatio_ratio,ton,,,,,,,,
11,c-n-7,CC1=C(C2=CC=CC3=CN(CC4=NC=CC=C4)CN23)C(C)=CC(C)=C1,15,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
5,c-n-1,CC(C1=CC=CC(C(C)C)=C1N2CN3C(C4=NC=CC=C4)=CC=CC3=C2)C,16,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,180,,12,,,,,,,,,,
6,c-n-2,CCC1=CC=CC(CC)=C1N2CN3C(C4=NC=CC(C(C)(C)C)=C4)=CC(C(C)(C)C)=CC3=C2,17,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,677,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,18,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,845,,12,,,,,,,,,,
8,c-n-4,CCCC1=CC=CC(C(C)C)=C1N2CN3C(C4=NC=CC(C(C)(C)C)=C4)=CC(C(C)(C)C)=CC3=C2,19,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,728,,12,,,,,,,,,,
9,c-n-5,CC(C=CC1=C2C=CC=C1)=C2N3CN4C(C5=NC=CC(C(C)(C)C)=C5)=CC(C(C)(C)C)=CC4=C3,20,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,194,,12,,,,,,,,,,
10,c-n-6,CC(C=C1C(C2=CC=CC=C2)C3=CC=CC=C3)=CC(C(C4=CC=CC=C4)C5=CC=CC=C5)=C1N6CN7C(C8=NC=CC(C(C)(C)C)=C8)=CC(C(C)(C)C)=CC7=C6,21,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI, PCy3","500, 250, 1",0.2,2,,814,,12,,,,,,,,,,
2,p-p-1,P(CCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,22,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,1200,,12,,,,,,,,,,
12,p-p-4,P(CCP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4,23,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,1500,,12,,,,,,,,,,
3,p-p-2,P(CCCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,24,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,900,,12,,,,,,,,,,
13,p-p-5,P(CCCP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4,25,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,1000,,12,,,,,,,,,,
71,n-n-2,C1(C2=NC=CC=C2)=CC=CC=N1,26,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
72,n-n-3,CC(C1=CC=NC(C2=NC=CC(C(C)(C)C)=C2)=C1)(C)C,27,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,28,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,DIPEA,500,"Zn, LiI","500, 250",0.2,2,,34,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,29,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,py,500,"Zn, LiI","500, 250",0.2,2,,80,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,30,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,k2co3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,31,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,cs2co3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,32,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,DABCO,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,33,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,tmeda,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,34,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,tbuoK,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,35,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, NaI","500, 250",0.2,2,,0,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,36,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,toluene,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,54,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,37,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,anisole,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,416,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,38,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,benzene,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,85,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,39,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,2-Cl-tol,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,799,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,40,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,thf,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,41,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,dcm,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,42,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,dmf,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
7,c-n-3,CC(C(C=CC=C1)=C1/N=C(C2=C3C(C=CC=C34)=CC=C2)/C4=N/C5=CC=CC=C5C(C)(C)C)(C)C,43,"Catalysts 2020, 10, 758",CO2ethylene,Ni,CO2,ethylene,"1,4-dioxane",60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,,,,,,,,,
14,p-c-1,CC1=CC(C)=CC(C)=C1N(C2)C=CN2CP(C3CCCCC3)C4CCCCC4,44,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,100,3,3,"Na(2,4,6-trimethylphenoxide)",300,,,1,2,,,,8,,6.9,,,,,,,,
14,p-c-1,CC1=CC(C)=CC(C)=C1N(C2)C=CN2CP(C3CCCCC3)C4CCCCC4,45,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,120,3,3,"Na(2,4,6-trimethylphenoxide)",300,,,1,2,,,,8,,34,,,,,,,,
14,p-c-1,CC1=CC(C)=CC(C)=C1N(C2)C=CN2CP(C3CCCCC3)C4CCCCC4,46,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,,,1,2,,,,8,,58,,,,,,,,
14,p-c-1,CC1=CC(C)=CC(C)=C1N(C2)C=CN2CP(C3CCCCC3)C4CCCCC4,47,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,Zn,100,1,2,,,,8,,73,,,,,,,,
14,p-c-1,CC1=CC(C)=CC(C)=C1N(C2)C=CN2CP(C3CCCCC3)C4CCCCC4,48,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,94,,,,,,,,
14,p-c-1,CC1=CC(C)=CC(C)=C1N(C2)C=CN2CP(C3CCCCC3)C4CCCCC4,49,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,PhCOONa,100,1,2,,,,8,,12,,,,,,,,
14,p-c-1,CC1=CC(C)=CC(C)=C1N(C2)C=CN2CP(C3CCCCC3)C4CCCCC4,50,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,CF3COONa,100,1,2,,,,8,,31,,,,,,,,
14,p-c-1,CC1=CC(C)=CC(C)=C1N(C2)C=CN2CP(C3CCCCC3)C4CCCCC4,51,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,HCOONa,100,1,2,,,,8,,6.1,,,,,,,,
15,p-c-2,CC1=CC(C)=CC(C)=C1N(C2)CCN2CP(C3CCCCC3)C4CCCCC4,52,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,2.3,,,,,,,,
16,p-c-3,CC1=CC(C)=CC(C)=C1N(C2)C3=C(C=CC=C3)N2CP(C4CCCCC4)C5CCCCC5,53,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,3.2,,,,,,,,
17,p-c-4,CC1=C(C)N(C2=C(C)C=C(C)C=C2C)CN1CP(C3CCCCC3)C4CCCCC4,54,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,140,,,,,,,,
12,p-p-4,P(CCP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4,55,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,85,,,,,,,,
71,n-n-2,C1(C2=NC=CC=C2)=CC=CC=N1,56,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,0,,,,,,,,
27,p-p-6,CCCC[Pt](CC[Pt](CCCC)CCCC)CCCC,57,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,9,,,,,,,,
28,p-p-7,CC(C)(C)P1CC2=C(C3=CC=CC=C3C=C2)C4=C(C1C5C6=C(C7=CC=CC=C7C=C6)C8=C(CP5C(C)(C)C)C=CC9=CC=CC=C98)C=CC1=CC=CC=C14,58,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,10,,,,,,,,
29,p-p-8,[H][C@@]1([C@]2([H])[P@@](C(C)(C)C)CCC2)[P@@](C(C)(C)C)CCC1,59,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,14,,,,,,,,
30,p-p-9,C[P@](C(C)(C)C)C1=NC2=CC=CC=C2N=C1[P@](C)C(C)(C)C,60,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,4,,,,,,,,
31,p-p-10,CC(P(CCP(C(C)C)C(C)C)C(C)C)C,61,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,6,,,,,,,,
32,p-p-11,CC(P(CCCP(C(C)C)C(C)C)C(C)C)C,62,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,5,,,,,,,,
33,p-p-12,CC(P(CCCCP(C(C)C)C(C)C)C(C)C)C,63,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,2,,,,,,,,
34,p-p-13,C[C@@H]1CC[C@@H](C)P1C2=CC=CC=C2P3[C@H](C)CC[C@H]3C,64,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,2,,,,,,,,
35,p-p-14,[H][C@@]1([C@]2([H])[P@@](C(C)(C)C)CC3=C2C=CC=C3)[P@@](C(C)(C)C)CC4=C1C=CC=C4,65,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,16,,,,,,,,
36,p-p-15,CP(C(C)(C)C)C1=CC=CC=C1P(C)C(C)(C)C,66,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,10,,,,,,,,
36,p-p-15,CP(C(C)(C)C)C1=CC=CC=C1P(C)C(C)(C)C,67,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,DMF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,2,,,,,,,,
36,p-p-15,CP(C(C)(C)C)C1=CC=CC=C1P(C)C(C)(C)C,68,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,PhCl,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,10,,,,,,,,
36,p-p-15,CP(C(C)(C)C)C1=CC=CC=C1P(C)C(C)(C)C,69,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,dioxane,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,13,,,,,,,,
36,p-p-15,CP(C(C)(C)C)C1=CC=CC=C1P(C)C(C)(C)C,70,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,toluene,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,17,,,,,,,,
12,p-p-4,P(CCP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4,71,"Chem. Eur. J.2014,20, 16858 – 16862",CO2ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,10,,,,,,,,
64,p-p-23,C/C1=C(C)\C[P@](C)C/C(C)=C(C)\C[P@](C)C1,72,"Chem. Sci.,2017,8, 1463",CO2ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,6,,,,,,,,
65,p-p-24,C/C1=C(C)\C[P@](C2CCCCC2)C/C(C)=C(C)\C[P@](C)C1,73,"Chem. Sci.,2017,8, 1463",CO2ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,15,,,,,,,,
66,p-p-25,C/C1=C(C)\C[P@](C2CCCCC2)C/C(C)=C(C)\C[P@](CCCC)C1,74,"Chem. Sci.,2017,8, 1463",CO2ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,11,,,,,,,,
67,p-p-26,C/C1=C(C)\C[P@](C2CCCCC2)C/C(C)=C(C)\C[P@](CC3=CC=CC=C3)C1,75,"Chem. Sci.,2017,8, 1463",CO2ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,17,,,,,,,,
68,p-p-27,C/C1=C(C)\C[P@](C2=CC=CC=C2)C/C(C)=C(C)\C[P@](CC3=CC=CC=C3)C1,76,"Chem. Sci.,2017,8, 1463",CO2ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,4,,,,,,,,
69,p-p-28,C/C1=C(C)\C[P@](C2=C(C)C=C(C)C=C2C)C/C(C)=C(C)\C[P@](CC3=CC=CC=C3)C1,77,"Chem. Sci.,2017,8, 1463",CO2ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,0,,,,,,,,
70,p-p-29,C/C1=C(C)\C[P@](C2CCCCC2)C/C(C)=C(C)\C[P@](C3CCCCC3)C1,78,"Chem. Sci.,2017,8, 1463",CO2ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,19,,,,,,,,
12,p-p-4,P(CCP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4,79,"Chem. Sci.,2017,8, 1463",CO2ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,12,,,,,,,,
13,p-p-5,P(CCCP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4,80,"Chem. Sci.,2017,8, 1463",CO2ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,7,,,,,,,,
44,p-p-18,P(CCCCP(C1CCCCC1)C2CCCCC2)(C3CCCCC3)C4CCCCC4,81,"Chem. Sci.,2017,8, 1463",CO2ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,4,,,,,,,,
18,p-c-5,CC1=CC(C)=CC(C)=C1N(C2)C=CN2CCCP(C3=CC=CC=C3)C4=CC=CC=C4,82,Inorganica Chimica Acta 357 (2004) 4313–4321,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,3,,81,,16,,,,,,,,,,
19,p-c-6,C=CC1=C(C)C(CN(C2)C=CN2CCCP(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C1,83,Inorganica Chimica Acta 357 (2004) 4313–4321,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,3,,85,,16,,,,,,,,,,
20,p-c-7,N1(C=CN(CC2=CC=CC=C2)C1)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,84,Inorganica Chimica Acta 357 (2004) 4313–4321,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,3,,99,,16,,,,,,,,,,
21,p-c-8,FC(C=C1)=CC=C1CN(C2)C=CN2CCCP(C3=CC=CC=C3)C4=CC=CC=C4,85,Inorganica Chimica Acta 357 (2004) 4313–4321,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,3,,89,,9,,,,,,,,,,
